record_id,annual_income_usd,house_age_years,number_of_rooms,number_of_bedrooms,area_population,house_price_usd,house_area_proxy_sqft,address
1,79545.45857,5.682861322,7.009188143,4.09,23086.8005,1059033.558,2453.22,
2,79248.64245,6.002899808,6.730821019,3.09,40173.07217,1505890.915,2355.79,
3,61287.06718,5.86588984,8.51272743,5.13,36882.1594,1058987.988,2979.45,
4,63345.24005,7.188236095,5.586728665,3.26,34310.24283,1260616.807,1955.35,
5,59982.19723,5.040554523,7.839387785,4.23,26354.10947,630943.4893,2743.79,
6,80175.75416,4.988407758,6.104512439,4.04,26748.42842,1068138.074,2136.58,
7,64698.46343,6.025335907,8.147759585,3.41,60828.24909,1502055.817,2851.72,
8,78394.33928,6.989779748,6.620477995,2.42,36516.35897,1573936.564,2317.17,
9,59927.66081,5.36212557,6.393120981,2.3,29387.396,798869.5328,2237.59,
10,81885.92718,4.42367179,8.167688003,6.1,40149.96575,1545154.813,2858.69,
11,80527.47208,8.093512681,5.0427468,4.1,47224.35984,1707045.722,1764.96,
12,50593.6955,4.496512793,7.467627404,4.49,34343.99189,663732.3969,2613.67,
13,39033.80924,7.671755373,7.250029317,3.1,39220.36147,1042814.098,2537.51,
14,73163.66344,6.919534825,5.993187901,2.27,32326.12314,1291331.518,2097.62,
15,69391.38018,5.344776177,8.406417715,4.37,35521.29403,1402818.21,2942.27,
16,73091.86675,5.443156467,8.517512711,4.01,23929.52405,1306674.66,2981.13,
17,79706.96306,5.067889591,8.219771123,3.12,39717.81358,1556786.6,2876.92,
18,61929.07702,4.788550242,5.097009554,4.3,24595.9015,528485.2467,1783.95,
19,63508.1943,5.94716514,7.187773835,5.12,35719.65305,1019425.937,2515.72,
20,62085.2764,5.739410844,7.091808104,5.49,44922.1067,1030591.429,2482.13,
21,86294.99909,6.62745694,8.011897853,4.07,47560.77534,2146925.34,2804.16,
22,60835.08998,5.551221592,6.517175038,2.1,45574.74166,929247.5995,2281.01,
23,64490.65027,4.21032287,5.478087731,4.31,40358.96011,718887.2315,1917.33,
24,60697.35154,6.170484091,7.150536572,6.34,28140.96709,743999.8192,2502.69,
25,59748.85549,5.339339881,7.748681606,4.23,27809.98654,895737.1334,2712.04,
26,56974.47654,8.287562194,7.312879971,4.33,40694.86951,1453974.506,2559.44,
27,82173.62608,4.018524685,6.992698757,2.03,38853.91807,1125692.507,2447.42,
28,64626.88098,5.44335959,6.988753539,4,27784.74228,975429.4928,2446.06,
29,90499.05745,6.384358921,4.242191302,3.04,33970.16499,1240763.766,1484.77,
30,59323.7921,6.97782794,8.273697078,4.07,37520.65773,1577017.76,2895.79,
31,77811.52203,5.314460215,6.686686133,3.24,33754.7378,1246830.188,2340.34,
32,68652.60921,6.1243421,6.290820167,4.42,39355.62573,1170720.894,2201.79,
33,55041.35158,7.127128553,8.591923294,5.36,30122.47348,1071279.21,3007.17,
34,50218.70846,6.118808131,7.333554072,6.29,16810.78331,534305.1323,2566.74,
35,55909.3223,5.419562911,9.289854372,6,22355.23541,936368.9634,3251.23,
36,74372.81021,5.500128573,6.593045604,2.07,39395.15118,1199193.831,2307.57,
37,78667.9046,5.470652207,7.780836693,4.1,27637.65655,1233220.009,2723.24,
38,78699.5151,5.652783637,6.756453856,3.01,22836.60757,1081150.125,2364.76,
39,53128.18545,5.180664125,5.426902859,2.39,32947.71196,524712.7661,1899.42,
40,17796.63119,4.949557006,6.713905445,2.5,47162.18364,302355.836,2349.87,
41,58566.84936,6.579691453,5.034525352,2.17,39705.46496,1026817.4,1762.08,
42,75537.79451,7.845215914,7.555660721,6.3,32778.19534,1762214.68,2644.48,
43,46147.05306,6.623332829,7.60683155,4.43,27161.12861,882057.1706,2662.39,
44,70421.47649,6.90708297,7.634318731,4.44,43183.92849,1744932.211,2672.01,
45,62614.42062,5.499309697,7.440505218,6.32,26888.57956,1153871.47,2604.18,
46,66394.87159,7.069512154,7.204639709,3.18,39741.07751,1499988.88,2521.62,
47,73946.85107,4.863154306,7.537182365,6.35,35261.12702,1109588.38,2638.01,
48,69144.74571,7.296224497,5.928223473,3.22,19030.61549,980177.3051,2074.88,
49,77278.69703,6.238891015,6.919204136,2.13,21725.95429,1323952.027,2421.72,
50,86754.19663,6.604439819,6.252454805,4.02,43017.44076,1662494.736,2188.36,
51,74399.84098,6.382452912,7.252665322,6.36,41084.66282,1417819.74,2538.43,
52,49408.19834,5.825920476,5.831738973,3.32,26881.1306,549976.1456,2041.11,
